Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Average,Not Interested,Poor,Average,Intermediate,Not Interested,Business Analyst
Beginner,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Intermediate,Frontend or Graphics Designer
Not Interested,Beginner,Not Interested,Poor,Not Interested,Beginner,Not Interested,Average,Poor,Not Interested,Average,Not Interested,Beginner,Poor,Software Engineer
Average,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Intermediate,Excellent,Intermediate,Beginner,Average,Poor,Intermediate,Poor,IT Support
Average,Beginner,Beginner,Average,Not Interested,Poor,Not Interested,Average,Beginner,Not Interested,Beginner,Poor,Intermediate,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Beginner,Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Not Interested,"Data Science, ML or AI"
Intermediate,Poor,Poor,Poor,Beginner,Beginner,Intermediate,Not Interested,Excellent,Poor,Not Interested,Intermediate,Intermediate,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Average,Average,Excellent,Excellent,Poor,Intermediate,Not Interested,Intermediate,Beginner,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Average,Average,Not Interested,IT Support
Beginner,Not Interested,Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Average,Beginner,Not Interested,Not Interested,Beginner,Excellent,Not Interested,IT Support
Not Interested,Poor,Not Interested,Poor,Beginner,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Beginner,Beginner,Excellent,Frontend or Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Excellent,Beginner,Excellent,Not Interested,Poor,Beginner,Beginner,Excellent,Poor,Not Interested,Average,Not Interested,Excellent,Not Interested,Backend or databases
Not Interested,Beginner,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Intermediate,Not Interested,Average,Intermediate,Not Interested,Beginner,Not Interested,Software Tester
Beginner,Not Interested,Not Interested,Not Interested,Excellent,Beginner,Average,Intermediate,Beginner,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Software Engineer
Not Interested,Not Interested,Poor,Not Interested,Beginner,Not Interested,Beginner,Poor,Average,Beginner,Intermediate,Intermediate,Average,Excellent,Frontend or Graphics Designer
Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,IT Support
Average,Not Interested,Poor,Beginner,Poor,Not Interested,Beginner,Average,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,IT Support
Not Interested,Average,Intermediate,Average,Not Interested,Beginner,Beginner,Average,Beginner,Not Interested,Not Interested,Beginner,Poor,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Average,Excellent,Average,Beginner,Excellent,Poor,Poor,Not Interested,Hardware Engineer
Not Interested,Not Interested,Beginner,Excellent,Not Interested,Beginner,Beginner,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Intermediate,Beginner,Average,Not Interested,Poor,Not Interested,Not Interested,"Data Science, ML or AI"
Excellent,Not Interested,Poor,Not Interested,Poor,Poor,Intermediate,Average,Intermediate,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Beginner,Poor,Poor,Beginner,Intermediate,Excellent,Intermediate,Excellent,Not Interested,Beginner,Intermediate,Beginner,Excellent,Beginner,Software Engineer
Average,Poor,Not Interested,Not Interested,Intermediate,Average,Poor,Excellent,Poor,Intermediate,Beginner,Poor,Not Interested,Not Interested,"Data Science, ML or AI"
Beginner,Not Interested,Poor,Excellent,Poor,Beginner,Beginner,Average,Average,Not Interested,Average,Not Interested,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Poor,Poor,Average,Intermediate,Beginner,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Intermediate,Excellent,Intermediate,Beginner,Poor,Not Interested,Excellent,Poor,Poor,Beginner,Beginner,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,Average,Poor,Intermediate,Not Interested,Beginner,Excellent,Excellent,Poor,Business Analyst
Excellent,Excellent,Average,Average,Average,Excellent,Beginner,Excellent,Average,Excellent,Intermediate,Intermediate,Poor,Poor,"Data Science, ML or AI"
Excellent,Intermediate,Average,Not Interested,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Intermediate,Intermediate,Excellent,Average,"Data Science, ML or AI"
Excellent,Beginner,Average,Average,Average,Poor,Poor,Intermediate,Beginner,Not Interested,Intermediate,Average,Excellent,Poor,Backend or databases
Not Interested,Not Interested,Beginner,Poor,Not Interested,Average,Excellent,Not Interested,Excellent,Poor,Average,Intermediate,Not Interested,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Intermediate,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Excellent,Frontend or Graphics Designer
Average,Excellent,Intermediate,Excellent,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Average,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Beginner,Average,Frontend or Graphics Designer
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Not Interested,Poor,Average,Not Interested,IT Support
Beginner,Not Interested,Average,Intermediate,Not Interested,Beginner,Beginner,Beginner,Average,Not Interested,Average,Poor,Poor,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Poor,Beginner,Not Interested,Poor,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Poor,Beginner,Not Interested,Average,Excellent,Excellent,Beginner,Intermediate,Intermediate,Excellent,Beginner,Excellent,Average,Beginner,"Data Science, ML or AI"
Average,Average,Beginner,Not Interested,Intermediate,Intermediate,Poor,Excellent,Average,Intermediate,Beginner,Intermediate,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Excellent,Poor,Average,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Software Engineer
