Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Average,Not Interested,Poor,Average,Intermediate,Not Interested,Business Analyst
Beginner,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Intermediate,Graphics Designer
Not Interested,Average,Not Interested,Not Interested,Intermediate,Intermediate,Beginner,Average,Excellent,Beginner,Not Interested,Not Interested,Average,Not Interested,API Specialist
Not Interested,Beginner,Not Interested,Poor,Not Interested,Beginner,Not Interested,Average,Poor,Not Interested,Average,Not Interested,Beginner,Poor,Software Developer
Beginner,Beginner,Beginner,Poor,Not Interested,Poor,Average,Beginner,Excellent,Not Interested,Intermediate,Excellent,Intermediate,Beginner,Technical Writer
Average,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Intermediate,Excellent,Intermediate,Beginner,Average,Poor,Intermediate,Poor,Helpdesk Engineer
Average,Beginner,Beginner,Average,Not Interested,Poor,Not Interested,Average,Beginner,Not Interested,Beginner,Poor,Intermediate,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Beginner,Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Not Interested,Data Scientist
Intermediate,Poor,Poor,Poor,Beginner,Beginner,Intermediate,Not Interested,Excellent,Poor,Not Interested,Intermediate,Intermediate,Not Interested,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Average,Average,Excellent,Excellent,Poor,Intermediate,Not Interested,Intermediate,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Average,Average,Not Interested,Customer Service Executive
Beginner,Not Interested,Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Average,Beginner,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Application Support Engineer
Not Interested,Poor,Not Interested,Poor,Beginner,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Beginner,Beginner,Excellent,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Excellent,Beginner,Excellent,Not Interested,Poor,Beginner,Beginner,Excellent,Poor,Not Interested,Average,Not Interested,Excellent,Not Interested,Database Administrator
Not Interested,Beginner,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Intermediate,Not Interested,Average,Intermediate,Not Interested,Beginner,Not Interested,Software Tester
Beginner,Not Interested,Not Interested,Not Interested,Excellent,Beginner,Average,Intermediate,Beginner,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Poor,Not Interested,Beginner,Not Interested,Beginner,Poor,Average,Beginner,Intermediate,Intermediate,Average,Excellent,Graphics Designer
Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Application Support Engineer
Average,Not Interested,Poor,Beginner,Poor,Not Interested,Beginner,Average,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,Helpdesk Engineer
